timestamp,pod_name,cpu(m),memory(Mi),node
2026-03-31 19:07:13,load-generator,811m,6Mi,minikube
2026-03-31 19:07:13,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:07:13,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:07:13,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:07:21,load-generator,811m,6Mi,minikube
2026-03-31 19:07:21,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:07:21,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:07:21,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:07:28,load-generator,811m,6Mi,minikube
2026-03-31 19:07:28,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
